,1.0,2.0,3.0
0.5,11.8534,11.524,11.335
1.0,13.1765,12.8004,12.5825
1.5,13.2898,12.9605,12.768
2.0,12.6964,12.4146,12.2505
2.5,12.11,11.8543,11.7057
3.0,11.6161,11.3765,11.2374
3.5,11.208,10.9797,10.8471
4.0,10.8676,10.6479,10.5203
4.5,10.5801,10.3671,10.2434
5.0,10.334,10.1264,10.0057
