,1.0,2.0,3.0
0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0
2.0,0.00109,0.00079,0.00064
2.5,0.0179,0.01594,0.01476
3.0,0.05606,0.05352,0.05193
3.5,0.10379,0.10165,0.10028
4.0,0.15392,0.15249,0.15155
4.5,0.20321,0.20255,0.20209
5.0,0.25028,0.25034,0.25032
