,1.0,2.0,3.0
0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.5,4e-05,5e-05,6e-05
3.0,0.0001,0.00013,0.00015
3.5,0.00015,0.0002,0.00024
4.0,0.00018,0.00025,0.0003
4.5,0.00021,0.00028,0.00034
5.0,0.00022,0.0003,0.00036
