,1.0,2.0,3.0
0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0
2.0,0.00199,0.00143,0.00116
2.5,0.01496,0.01279,0.01155
3.0,0.02879,0.02586,0.02415
3.5,0.03723,0.03387,0.03191
4.0,0.04109,0.03744,0.03533
4.5,0.04183,0.03802,0.03581
5.0,0.04059,0.0367,0.03445
