,1.0,2.0,3.0
0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0
2.0,0.00052,0.00034,0.00027
2.5,0.01488,0.01294,0.0118
3.0,0.05285,0.05014,0.04844
3.5,0.10157,0.09922,0.09773
4.0,0.15295,0.15133,0.15029
4.5,0.2035,0.20267,0.20213
5.0,0.25174,0.25166,0.25156
