,1.0,2.0,3.0
0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0
2.0,0.00092,0.00061,0.00047
2.5,0.01156,0.00967,0.00861
3.0,0.02466,0.02198,0.02044
3.5,0.03267,0.02958,0.02779
4.0,0.03616,0.0328,0.03086
4.5,0.0366,0.03309,0.03106
5.0,0.03511,0.03153,0.02948
