,1.0,2.0,3.0
0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.5,2e-05,3e-05,3e-05
3.0,7e-05,9e-05,0.0001
3.5,0.0001,0.00014,0.00017
4.0,0.00013,0.00018,0.00021
4.5,0.00015,0.0002,0.00024
5.0,0.00016,0.00021,0.00026
