,1.0,2.0,3.0
0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0
2.0,1e-05,1e-05,0.0
2.5,0.0067,0.00518,0.00437
3.0,0.04213,0.039,0.03708
3.5,0.0932,0.09031,0.08851
4.0,0.14803,0.14596,0.14466
4.5,0.20215,0.20098,0.20024
5.0,0.25376,0.25342,0.2532
