,1.0,2.0,3.0
0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.5,0.0,1e-05,1e-05
3.0,2e-05,3e-05,3e-05
3.5,4e-05,5e-05,6e-05
4.0,5e-05,7e-05,8e-05
4.5,6e-05,8e-05,0.0001
5.0,6e-05,8e-05,0.0001
