,1.0,2.0,3.0
0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0
2.0,3e-05,1e-05,1e-05
2.5,0.00446,0.00335,0.00277
3.0,0.01538,0.01334,0.01219
3.5,0.02234,0.0199,0.01851
4.0,0.02491,0.02223,0.02071
4.5,0.02456,0.02176,0.02018
5.0,0.02244,0.01964,0.01807
