,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2.0,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.55,2.6,2.65,2.7,2.75,2.8,2.85,2.9,2.95
0.1,0.6924800000000001,0.86199,1.031,1.1996,1.3679,1.5359,1.7036,1.8712,2.0385,2.2057,2.3728,2.5397,2.7065,2.8732,3.0398,3.2063,3.3727,3.5391,3.7053,3.8715,4.0376,4.2037,4.3697,4.5356,4.7015,4.8673,5.0331,5.1989,5.3646,5.5302,5.6958,5.8614,6.0269,6.1925,6.3579,6.5234,6.6888,6.8542,7.0195,7.1848,7.3501,7.5154,7.6806,7.8459,8.0111,8.1762,8.3414,8.5065,8.6716,8.8367,9.0018,9.1668,9.3319,9.4969,9.6619,9.8269
0.2,0.5385300000000001,0.67017,0.80137,0.9321999999999999,1.0627,1.193,1.3231,1.453,1.5827,1.7122,1.8416,1.9709,2.1001,2.2292,2.3582,2.4871,2.6159,2.7446,2.8733,3.0019,3.1304,3.2589,3.3873,3.5156,3.644,3.7722,3.9004,4.0286,4.1567,4.2848,4.4129,4.5409,4.6688,4.7968,4.9247,5.0526,5.1804,5.3082,5.436,5.5638,5.6915,5.8192,5.9469,6.0745,6.2022,6.3298,6.4574,6.585,6.7125,6.84,6.9675,7.095,7.2225,7.35,7.4774,7.6048
0.3,0.45713000000000004,0.5686,0.67962,0.7902800000000001,0.90063,1.0107,1.1206,1.2303,1.3397,1.4491,1.5583,1.6673,1.7762,1.8851,1.9938,2.1024,2.2109,2.3193,2.4277,2.536,2.6442,2.7523,2.8604,2.9684,3.0764,3.1843,3.2921,3.3999,3.5077,3.6154,3.723,3.8306,3.9382,4.0457,4.1532,4.2607,4.3681,4.4755,4.5828,4.6901,4.7974,4.9047,5.0119,5.1191,5.2262,5.3334,5.4405,5.5476,5.6546,5.7617,5.8687,5.9757,6.0826,6.1896,6.2965,6.4034
0.4,0.40657,0.50536,0.6036900000000001,0.7016300000000001,0.79925,0.89659,0.99369,1.0906,1.1873,1.2838,1.3802,1.4764,1.5725,1.6684,1.7643,1.86,1.9557,2.0512,2.1466,2.242,2.3373,2.4325,2.5276,2.6227,2.7177,2.8127,2.9075,3.0023,3.0971,3.1918,3.2865,3.3811,3.4756,3.5702,3.6646,3.759,3.8534,3.9478,4.0421,4.1363,4.2306,4.3247,4.4189,4.513,4.6071,4.7012,4.7952,4.8892,4.9831,5.0771,5.171,5.2648,5.3587,5.4525,5.5463,5.6401
0.5,0.37047,0.46024000000000004,0.54954,0.6384400000000001,0.72701,0.8153000000000001,0.9033300000000001,0.9911500000000001,1.0788,1.1662,1.2534,1.3406,1.4275,1.5144,1.6011,1.6877,1.7742,1.8606,1.9469,2.0331,2.1192,2.2052,2.2912,2.3771,2.4629,2.5486,2.6343,2.7199,2.8054,2.8909,2.9764,3.0618,3.1471,3.2324,3.3176,3.4028,3.4879,3.573,3.658,3.743,3.828,3.9129,3.9978,4.0827,4.1675,4.2522,4.337,4.4217,4.5063,4.591,4.6756,4.7602,4.8447,4.9292,5.0137,5.0982
0.6,0.34166,0.4244,0.5066700000000001,0.58855,0.6701100000000001,0.75138,0.83241,0.91321,0.9938100000000001,1.0742,1.1545,1.2346,1.3145,1.3944,1.4741,1.5536,1.6331,1.7125,1.7918,1.8709,1.95,2.029,2.108,2.1868,2.2656,2.3443,2.4229,2.5015,2.58,2.6585,2.7368,2.8152,2.8935,2.9717,3.0499,3.128,3.2061,3.2841,3.3621,3.44,3.5179,3.5958,3.6736,3.7513,3.8291,3.9068,3.9844,4.0621,4.1396,4.2172,4.2947,4.3722,4.4497,4.5271,4.6045,4.6818
0.7,0.31624,0.39306,0.46944,0.54548,0.6212,0.6966700000000001,0.7719,0.8469200000000001,0.92175,0.99641,1.0709,1.1453,1.2195,1.2936,1.3675,1.4414,1.5151,1.5888,1.6623,1.7358,1.8092,1.8825,1.9557,2.0288,2.1019,2.1749,2.2478,2.3207,2.3935,2.4663,2.539,2.6116,2.6842,2.7567,2.8292,2.9016,2.974,3.0463,3.1186,3.1909,3.2631,3.3352,3.4073,3.4794,3.5515,3.6235,3.6954,3.7674,3.8393,3.9111,3.9829,4.0547,4.1265,4.1982,4.2699,4.3416
0.8,0.29186,0.36333000000000004,0.43445,0.5052800000000001,0.57586,0.64622,0.7163700000000001,0.78634,0.8561500000000001,0.9258,0.9953200000000001,1.0647,1.134,1.2031,1.2722,1.3411,1.4099,1.4787,1.5474,1.6159,1.6844,1.7529,1.8212,1.8895,1.9577,2.0259,2.094,2.162,2.23,2.2979,2.3658,2.4336,2.5014,2.5691,2.6368,2.7044,2.772,2.8395,2.907,2.9744,3.0418,3.1092,3.1765,3.2438,3.3111,3.3783,3.4455,3.5126,3.5798,3.6468,3.7139,3.7809,3.8479,3.9148,3.9818,4.0487
0.9,0.26818000000000003,0.33451000000000003,0.40063000000000004,0.4665600000000001,0.5323100000000001,0.59791,0.66337,0.7286900000000001,0.7938900000000001,0.8589700000000001,0.92395,0.98883,1.0536,1.1183,1.1829,1.2474,1.3119,1.3762,1.4405,1.5048,1.5689,1.633,1.6971,1.761,1.825,1.8888,1.9527,2.0164,2.0801,2.1438,2.2074,2.271,2.3345,2.398,2.4615,2.5249,2.5882,2.6516,2.7149,2.7781,2.8413,2.9045,2.9677,3.0308,3.0939,3.1569,3.2199,3.2829,3.3459,3.4088,3.4717,3.5346,3.5974,3.6602,3.723,3.7858
1.0,0.24682,0.30824,0.36956000000000006,0.43079,0.49193,0.55298,0.6139600000000001,0.67486,0.73568,0.79644,0.8571300000000002,0.91776,0.9783300000000001,1.0388,1.0993,1.1597,1.22,1.2803,1.3406,1.4007,1.4609,1.521,1.5811,1.6411,1.701,1.761,1.8209,1.8807,1.9405,2.0003,2.0601,2.1198,2.1795,2.2391,2.2987,2.3583,2.4178,2.4774,2.5369,2.5963,2.6557,2.7152,2.7745,2.8339,2.8932,2.9525,3.0118,3.071,3.1302,3.1894,3.2486,3.3078,3.3669,3.426,3.4851,3.5441
1.1,0.22864,0.28569,0.34269,0.39965000000000006,0.45657,0.51346,0.5703,0.6271100000000001,0.6838700000000001,0.7406100000000001,0.79731,0.85397,0.91061,0.9672100000000001,1.0238,1.0803,1.1368,1.1933,1.2498,1.3062,1.3626,1.4189,1.4753,1.5316,1.5879,1.6441,1.7004,1.7566,1.8128,1.8689,1.9251,1.9812,2.0373,2.0934,2.1494,2.2054,2.2615,2.3174,2.3734,2.4294,2.4853,2.5412,2.5971,2.653,2.7088,2.7647,2.8205,2.8763,2.9321,2.9878,3.0436,3.0993,3.155,3.2107,3.2664,3.322
