time [s],Chamber Pressure [Pa],Tank Pressure [Pa],Oxidizer Mass Flow Rate [kg/s],Oxidizer mass consumption [kg],Oxidizer Residual Volume [m^3],Fuel mass flow rate [kg/s],Fuel Mass Consumption [kg],"Fuel Port Diameter [,]",Oxidizer Mass Flux [kg/m^3],Fuel Regression Rate [m/s],Nozzle Throat Diameter [m],Nozzle Exit Pressure [Pa],Thrust Coefficient,Specific Exhaust Velocity [m/s],O/F,Thrust [N],Total Impulse [N-s]
t,Pc,Pt,mox,Mox,Vox,mf,Mf,Df,Gox,r,Dt,Pe,CF,cstr,of,F,I
0,3023949.088,10000000,2.307378538,0,0.01,0.590111452,0,0.0700535,598.6449053,0.006169708,0.0377,111060.1878,1.676830093,1164.986929,3.910087516,7152.118258,0
0.01,3008869.902,9905748.869,2.294246364,0.023008125,0.009980665,0.58791916,0.005890153,0.070107003,594.3296144,0.006142096,0.0377,110507.1661,1.676831495,1165.344893,3.902325637,7116.459549,71.34288903
0.02,2994028.7,9813433.257,2.281324053,0.045885627,0.009961441,0.585756601,0.011758482,0.070160508,590.0810232,0.006114837,0.0377,109962.8701,1.676832885,1165.697931,3.89467176,7081.363598,142.3310668
0.03,2979412.653,9722989.961,2.268605229,0.068635279,0.009942323,0.583622919,0.017605381,0.070214016,585.8971953,0.00608792,0.0377,109427.1298,1.676834803,1166.047827,3.88711749,7046.802332,212.9719199
0.04,2965017.199,9634364.153,2.256084743,0.091258393,0.009923312,0.581517449,0.023431035,0.070267527,581.7765231,0.006061338,0.0377,108899.7431,1.676837192,1166.395155,3.879660482,7012.764704,283.2688589
0.05,2950836.724,9547497.72,2.243757071,0.113757612,0.009904405,0.579439459,0.029235821,0.07032104,577.7173117,0.006035082,0.0377,108380.3827,1.676839842,1166.740029,3.872298425,6979.23652,353.2289003
0.06,2936865.684,9462340.298,2.231617686,0.136134162,0.009885602,0.577388368,0.035019914,0.070374556,573.7181316,0.006009146,0.0377,107868.7709,1.676842619,1167.082319,3.865029347,6946.204113,422.8552419
0.07,2923098.148,9378838.292,2.219661553,0.158390572,0.009866899,0.575363507,0.040783675,0.070428075,569.7774318,0.005983522,0.0377,107364.7275,1.676845594,1167.421823,3.85785112,6913.653734,492.1545778
0.08,2909528.822,9296945.354,2.207884494,0.18052799,0.009848296,0.57336434,0.046527269,0.070481596,565.8938898,0.005958204,0.0377,106868.2226,1.676849072,1167.758349,3.850761912,6881.574105,561.1298858
0.09,2896152.372,9216611.964,2.196281776,0.202548839,0.009829791,0.571390236,0.052251045,0.07053512,562.0660487,0.005933184,0.0377,106379.3297,1.676853555,1168.091806,3.843759692,6849.95464,629.787585
0.1,2882964.014,9137795.403,2.184849486,0.224454193,0.009811383,0.56944069,0.057955156,0.070588647,558.2926692,0.005908457,0.0377,105898.0784,1.676859438,1168.422106,3.836842697,6818.785572,698.1304799
0.11,2869958.599,9060449.846,2.173583231,0.246246378,0.00979307,0.567515113,0.063639938,0.070642177,554.5723971,0.005884015,0.0377,105424.2343,1.676866654,1168.749079,3.830009035,6788.054378,766.1647456
0.12,2857131.627,8984535.856,2.162479386,0.267926399,0.009774852,0.565613036,0.069305537,0.070695709,550.9040816,0.005859854,0.0377,104957.4767,1.67687493,1169.072589,3.823257097,6757.74925,833.8929877
0.13,2844478.404,8910010.952,2.15153382,0.28949649,0.009756726,0.563733905,0.074952275,0.070749243,547.2864492,0.005835966,0.0377,104497.406,1.676883851,1169.392539,3.816585081,6727.857369,901.3210974
0.14,2831994.782,8836838.676,2.140743145,0.310957592,0.009738691,0.561877279,0.08058029,0.070802781,543.7184234,0.005812347,0.0377,104043.6017,1.67689292,1169.70883,3.809991462,6698.366902,968.4514731
0.15,2819676.337,8764979.59,2.130103495,0.332311853,0.009720746,0.560042636,0.086189893,0.070856321,540.1988115,0.005788991,0.0377,103595.6335,1.676901627,1170.021355,3.803474544,6669.265369,1035.289721
0.16,2807519.099,8694399.939,2.11961173,0.353560155,0.009702891,0.558229568,0.091781214,0.070909864,536.7266125,0.005765893,0.0377,103153.1336,1.676909545,1170.329963,3.797032915,6640.541706,1101.83804
0.17,2795518.719,8625063.053,2.109264258,0.374704566,0.009685122,0.556437589,0.097354554,0.070963409,533.300716,0.005743047,0.0377,102715.8396,1.676916467,1170.634453,3.790664994,6612.184855,1168.101769
0.18,2783671.703,8556937.637,2.099058124,0.395745911,0.00966744,0.554666314,0.102910035,0.071016958,529.9201794,0.005720449,0.0377,102283.6689,1.676922465,1170.934743,3.784369489,6584.186895,1234.082933
0.19,2771974.695,8489989.544,2.088989816,0.416686185,0.009649844,0.552915261,0.108447948,0.071070508,526.5839247,0.005698093,0.0377,101856.6078,1.676927739,1171.231027,3.7781448,6556.540714,1299.786674
0.2,2760424.824,8424189.731,2.079056481,0.437526157,0.009632331,0.551184053,0.113968406,0.071124062,523.2910461,0.005675975,0.0377,101434.6724,1.676932513,1171.523489,3.771989592,6529.240439,1365.214901
0.21,2749018.99,8359506.363,2.069254811,0.458267751,0.009614901,0.549472236,0.119471693,0.071177618,520.0405281,0.00565409,0.0377,101017.8557,1.676936989,1171.812329,3.765902366,6502.279544,1430.372608
0.22,2737754.59,8295912.45,2.059582123,0.478911683,0.009597553,0.547779455,0.124957915,0.071231177,516.8315187,0.005632433,0.0377,100606.1376,1.676941309,1172.097756,3.759881875,6475.652438,1495.261604
0.23,2726628.784,8233378.276,2.050035284,0.49945981,0.009580286,0.546105275,0.130427344,0.071284739,513.6630571,0.005610999,0.0377,100199.4518,1.676945546,1172.38001,3.753926684,6449.352695,1559.886743
0.24,2715639.22,8171878.729,2.040611761,0.5199128,0.009563098,0.54444936,0.135880081,0.071338303,510.5343386,0.005589785,0.0377,99797.71171,1.676949697,1172.659343,3.748035603,6423.374747,1624.249731
0.25,2704783.288,8111386.034,2.031308584,0.540272444,0.00954599,0.542811296,0.14131639,0.07139187,507.4444538,0.005568786,0.0377,99400.78888,1.676953697,1172.93603,3.742207258,6397.712178,1688.355284
0.26,2694058.799,8051876.801,2.022123372,0.560539365,0.009528959,0.541190766,0.146736365,0.071445439,504.3926452,0.005547998,0.0377,99008.55156,1.676957441,1173.210329,3.736440521,6372.359421,1752.205007
0.27,2683463.012,7993325.035,2.013053364,0.580715293,0.009512004,0.539587384,0.152140262,0.071499012,501.3780652,0.005527416,0.0377,98620.91849,1.676960964,1173.482378,3.730734094,6347.310142,1815.803478
0.28,2672993.472,7935708.924,2.004096405,0.600800809,0.009495125,0.538000866,0.157528169,0.071552587,498.4000216,0.005507038,0.0377,98237.87503,1.676964416,1173.752192,3.725086993,6322.559103,1879.152204
0.29,2662647.409,7879004.106,1.995249929,0.620797587,0.009478321,0.536430852,0.162900334,0.071606164,495.4577236,0.005486858,0.0377,97859.37925,1.676967913,1174.019784,3.719498036,6298.100202,1942.255629
0.3,2652422.448,7823190.212,1.986511917,0.640706169,0.009461591,0.534877076,0.16825684,0.071659744,492.5505212,0.005466875,0.0377,97485.38865,1.676971547,1174.285148,3.713966284,6273.928159,2005.115164
0.31,2642315.929,7768244.386,1.977879947,0.660528177,0.009444934,0.533339198,0.173597928,0.071713327,489.6776678,0.005447084,0.0377,97115.83735,1.676975384,1174.548278,3.708490615,6250.036922,2067.735123
0.32,2632325.594,7714147.588,1.969352127,0.680264115,0.009428349,0.531816965,0.178923677,0.071766913,486.8385519,0.005427481,0.0377,96750.66317,1.676979467,1174.809154,3.703070144,6226.42131,2130.116821
0.33,2622448.918,7660878.346,1.960926163,0.699915557,0.009411836,0.530310057,0.184234319,0.071820501,484.0324667,0.005408064,0.0377,96389.78428,1.67698382,1175.067768,3.697703805,6203.075432,2192.264444
0.34,2612683.904,7608418.847,1.952600252,0.719482972,0.009395392,0.528818232,0.189529928,0.071874093,481.2588304,0.00538883,0.0377,96033.13575,1.676988464,1175.324159,3.692390761,6179.994624,2254.179214
0.35,2603028.381,7556748.897,1.944372176,0.738967887,0.009379019,0.527341175,0.194810732,0.071927686,478.5169614,0.005369774,0.0377,95680.6453,1.676993418,1175.57845,3.687129954,6157.173814,2315.865199
0.36,2593480.586,7505851.818,1.936240206,0.758370736,0.009362714,0.525878655,0.2000768,0.071981283,475.8063031,0.005350894,0.0377,95332.24069,1.676998667,1175.830768,3.681920553,6134.608772,2377.323543
0.37,2584038.286,7455708.599,1.928202263,0.777693002,0.009346476,0.524430377,0.205328352,0.072034882,473.1262159,0.005332187,0.0377,94987.78245,1.677004097,1176.08115,3.676761553,6112.293783,2438.558203
0.38,2574699.525,7406303.606,1.920256784,0.796935089,0.009330307,0.52299613,0.210565454,0.072088483,470.4761895,0.005313651,0.0377,94647.11836,1.677009542,1176.329531,3.671652233,6090.223616,2499.570234
0.39,2565462.003,7357618.923,1.912401836,0.816098438,0.009314203,0.521575644,0.215788321,0.072142088,467.8556268,0.005295281,0.0377,94310.0889,1.677014845,1176.575826,3.666591686,6068.392265,2560.363466
0.4,2556323.761,7309639.879,1.904635964,0.835183423,0.009298165,0.520168721,0.220997012,0.072195695,465.2640502,0.005277076,0.0377,93976.55272,1.677019859,1176.819915,3.661579235,6046.794573,2620.938858
0.41,2547282.539,7262349.57,1.896957344,0.854191447,0.009282192,0.518775105,0.226191739,0.072249305,462.7008951,0.005259033,0.0377,93646.3637,1.677024448,1177.061675,3.656614021,6025.424723,2681.300112
0.42,2538336.45,7215734.218,1.88936461,0.873122856,0.009266283,0.517394613,0.231372558,0.072302917,460.1657118,0.005241149,0.0377,93319.39597,1.677028489,1177.300965,3.65169541,6004.27782,2741.448096
0.43,2529483.341,7169777.858,1.881856031,0.891979018,0.009250438,0.516026998,0.236539674,0.072356532,457.6579633,0.005223422,0.0377,92995.52176,1.677031872,1177.53766,3.646822584,5983.348408,2801.386389
0.44,2520721.455,7124467.537,1.874430311,0.910760253,0.009234655,0.514672087,0.24169314,0.07241015,455.1772222,0.005205849,0.0377,92674.63658,1.677034505,1177.771641,3.641994939,5962.632031,2861.115774
0.45,2512048.811,7079788.164,1.867085787,0.929467894,0.009218935,0.513329643,0.246833157,0.072463771,452.722974,0.005188428,0.0377,92356.63751,1.677036317,1178.002825,3.637211682,5942.123774,2920.639719
0.46,2503463.851,7035727.555,1.859821215,0.948102235,0.009203275,0.511999498,0.251959774,0.072517394,450.2948087,0.005171157,0.0377,92041.44838,1.677037258,1178.231155,3.632472228,5921.819811,2979.958931
0.47,2494964.848,6992271.429,1.852634976,0.966664578,0.009187677,0.510681419,0.257073187,0.07257102,447.8922281,0.005154033,0.0377,91729.00248,1.677037313,1178.456642,3.627775795,5901.71603,3039.076779
0.48,2486550.806,6949408.32,1.845525805,0.985155192,0.009172138,0.509375231,0.262173442,0.072624648,445.5148212,0.005137055,0.0377,91419.32286,1.677036599,1178.679492,3.623121786,5881.810528,3097.993912
0.49,2478220.598,6907124.708,1.838492037,1.003575344,0.009156659,0.508080693,0.267260731,0.072678279,443.1620842,0.005120218,0.0377,91112.46907,1.677035329,1178.900065,3.618509326,5862.1014,3156.713643
0.5,2469973.467,6865409.793,1.831532422,1.02192528,0.009141239,0.506797628,0.272335094,0.072731913,440.8336152,0.005103522,0.0377,90808.5108,1.677033706,1179.118705,3.613937779,5842.587587,3215.236591
0.51,2461808.346,6824250.771,1.824645378,1.040206233,0.009125877,0.505525805,0.27739672,0.07278555,438.5289345,0.005086963,0.0377,90507.50022,1.677031926,1179.335746,3.609406332,5823.267257,3273.566038
0.52,2453724.45,6783637.463,1.817829734,1.058418425,0.009110573,0.504265062,0.282445647,0.072839189,436.2476642,0.00507054,0.0377,90209.49208,1.677030169,1179.551482,3.604914397,5804.139184,3331.702577
0.53,2445720.64,6743557.728,1.811083999,1.076563059,0.009095325,0.503015178,0.287482058,0.072892831,433.9893518,0.005054249,0.0377,89914.51898,1.677028599,1179.766167,3.600461208,5785.201233,3389.649454
0.54,2437796.004,6704001.968,1.804407097,1.094640335,0.009080134,0.501776004,0.292505987,0.072946476,431.7536464,0.005038091,0.0377,89622.61155,1.677027359,1179.979985,3.596046228,5766.451728,3447.40723
0.55,2429949.172,6664958.656,1.797797659,1.112651425,0.009064999,0.50054734,0.297517613,0.073000123,429.5401288,0.005022061,0.0377,89333.7713,1.677026565,1180.193025,3.591668757,5747.887825,3504.979105
0.56,2422178.971,6626418.734,1.791254732,1.13059651,0.009049919,0.499329057,0.302516968,0.073053773,427.3484816,0.005006158,0.0377,89047.99229,1.677026304,1180.405268,3.587328344,5729.507025,3562.365597
0.57,2414483.81,6588371.25,1.784777068,1.148476736,0.009034893,0.49812097,0.307504228,0.073107426,425.1783188,0.004990381,0.0377,88765.23821,1.677026631,1180.616617,3.58302437,5711.305736,3619.569841
0.58,2406862.298,6550807.643,1.77836382,1.166292266,0.009019922,0.496922969,0.312479421,0.073161081,423.029352,0.004974728,0.0377,88485.46514,1.677027567,1180.826884,3.578756447,5693.280717,3676.592299
0.59,2399312.655,6513717.497,1.77201385,1.184044222,0.009005005,0.495734886,0.31744272,0.073214739,420.9012249,0.004959197,0.0377,88208.60082,1.677029102,1181.035814,3.574524024,5675.427709,3733.436025
0.6,2391833.37,6477092.716,1.765726398,1.201732751,0.008990141,0.494556623,0.322394152,0.0732684,418.7936734,0.004943787,0.0377,87934.5629,1.677031183,1181.243095,3.570326775,5657.742937,3790.101414
0.61,2384422.771,6440923.382,1.759500372,1.219358954,0.008975329,0.49338802,0.327333884,0.073322063,416.7063555,0.004928495,0.0377,87663.23678,1.677033695,1181.448482,3.56616418,5640.222043,3846.591426
0.62,2377079.586,6405201.836,1.753335016,1.236922961,0.008960569,0.492228976,0.332261944,0.07337573,414.6390107,0.004913321,0.0377,87394.52294,1.677036523,1181.651783,3.562035894,5622.861621,3902.90639
0.63,2369802.377,6369918.627,1.74722924,1.254425852,0.008945861,0.491079332,0.337178495,0.073429398,412.5913016,0.004898263,0.0377,87128.32159,1.677039564,1181.852875,3.557941373,5605.657919,3959.049178
0.64,2362590.123,6335066.507,1.741182289,1.271867742,0.008931204,0.489938984,0.342083562,0.07348307,410.5629707,0.004883319,0.0377,86864.55392,1.677042727,1182.051687,3.553880262,5588.608205,4015.020062
0.65,2355441.628,6300636.468,1.735193077,1.28924969,0.008916597,0.488807772,0.346977305,0.073536744,408.5536847,0.004868488,0.0377,86603.14083,1.677045933,1182.248216,3.549852006,5571.709391,4070.821842
0.66,2348356.1,6266621.643,1.729260846,1.306571793,0.008902041,0.487685591,0.351859747,0.073590421,406.5631888,0.004853768,0.0377,86344.02373,1.677049115,1182.442508,3.545856234,5554.959378,4126.454746
0.67,2341332.564,6233013.445,1.723384517,1.323835092,0.008887534,0.48657228,0.356731046,0.0736441,404.5911542,0.004839158,0.0377,86087.143,1.677052218,1182.634673,3.541892382,5538.35568,4181.921516
0.68,2334370.421,6199805.368,1.717563333,1.341039667,0.008873076,0.485467732,0.361591222,0.073697783,402.6373295,0.004824656,0.0377,85832.45833,1.677055199,1182.824857,3.537960067,5521.896745,4237.222342
0.69,2327468.871,6166989.218,1.711796225,1.358186538,0.008858667,0.484371786,0.36644043,0.073751467,400.7013918,0.00481026,0.0377,85579.92706,1.677058027,1183.013259,3.534058719,5505.580579,4292.359925
0.7,2320627.464,6134558.831,1.706082446,1.375275769,0.008844306,0.483284336,0.371278686,0.073805155,398.7830948,0.00479597,0.0377,85329.52416,1.677060681,1183.200102,3.530187952,5489.406055,4347.334425
0.71,2313845.524,6102506.382,1.700420945,1.39230836,0.008829993,0.482205224,0.376106144,0.073858845,396.8821232,0.004781782,0.0377,85081.2206,1.677063148,1183.385643,3.526347195,5473.371541,4402.148511
0.72,2307122.695,6070826.028,1.694810995,1.40928436,0.008815727,0.481134345,0.380922818,0.073912538,394.9982379,0.004767697,0.0377,84835.00297,1.677065427,1183.570148,3.522536066,5457.476193,4456.80232
0.73,2300458.369,6039510.297,1.689251574,1.426204748,0.008801509,0.480071542,0.385728858,0.073966234,393.1311334,0.004753712,0.0377,84590.85206,1.677067523,1183.753901,3.518754002,5441.718596,4511.298493
0.74,2293852.16,6008553.644,1.683741994,1.443069558,0.008787337,0.479016718,0.390524275,0.074019932,391.2805828,0.004739826,0.0377,84348.75962,1.677069449,1183.937143,3.515000635,5426.097883,4565.637148
0.75,2287303.139,5977948.926,1.678281342,1.45987975,0.00877321,0.477969735,0.395309218,0.074073633,389.446309,0.004726037,0.0377,84108.69849,1.677071218,1184.119942,3.511275457,5410.611908,4619.820898
0.76,2280810.622,5947690.882,1.672869046,1.476635346,0.00875913,0.476930513,0.400083696,0.074127337,387.6281146,0.004712345,0.0377,83870.65052,1.677072845,1184.302285,3.507578219,5395.259106,4673.84983
0.77,2274373.609,5917772.674,1.667504258,1.493337289,0.008745095,0.475898924,0.404847854,0.074181043,385.8257395,0.004698748,0.0377,83634.58565,1.677074346,1184.484152,3.503908469,5380.037161,4727.726514
0.78,2267991.362,5888189.304,1.662186443,1.509985588,0.008731105,0.474874895,0.4096017,0.074234752,384.0389977,0.004685246,0.0377,83400.48326,1.677075735,1184.665496,3.500265957,5364.944381,4781.451004
0.79,2261662.869,5858934.225,1.656914795,1.526581171,0.008717159,0.473858304,0.414345376,0.074288464,382.2676412,0.004671835,0.0377,83168.31257,1.677077025,1184.846264,3.496650254,5349.978415,4835.025823
0.8,2255387.373,5830002.685,1.651688817,1.543124036,0.008703257,0.472849084,0.41907889,0.074342178,380.5114951,0.004658517,0.0377,82938.05417,1.677078235,1185.026375,3.49306113,5335.137538,4888.450989
0.81,2249163.849,5801388.412,1.646507743,1.559615096,0.008689399,0.471847117,0.423802382,0.074395896,378.770323,0.004645289,0.0377,82709.67833,1.677079384,1185.205743,3.489498181,5320.419387,4941.728981
0.82,2242991.547,5773086.886,1.641371108,1.576054339,0.008675585,0.470852341,0.428515856,0.074449615,377.0439591,0.004632151,0.0377,82483.16394,1.677080487,1185.384266,3.485961197,5305.822234,4994.85978
0.83,2236869.46,5745092.092,1.636278177,1.592442663,0.008661813,0.469864646,0.433219452,0.074503338,375.3321764,0.004619101,0.0377,82258.47914,1.677081555,1185.561847,3.48244979,5291.343737,5047.845819
0.84,2230796.864,5717399.73,1.631228509,1.608780047,0.008648084,0.46888397,0.437913173,0.074557063,373.6348167,0.004606139,0.0377,82035.60112,1.677082598,1185.73838,3.47896376,5276.982213,5100.687045
0.85,2224772.791,5690004.029,1.626221394,1.625067375,0.008634397,0.467910207,0.442597155,0.074610791,371.9516609,0.004593263,0.0377,81814.49688,1.67708362,1185.913773,3.47550273,5262.735389,5153.385844
0.86,2218796.558,5662900.897,1.62125641,1.641304615,0.008620752,0.466943299,0.4472714,0.074664521,370.282557,0.004580472,0.0377,81595.14286,1.677084626,1186.087928,3.472066511,5248.601664,5205.94213
0.87,2212867.245,5636084.792,1.616332869,1.657492641,0.008607149,0.465983141,0.451936043,0.074718255,368.6272926,0.004567766,0.0377,81377.50582,1.677085618,1186.260764,3.468654734,5234.578866,5258.358245
0.88,2206984.223,5609551.82,1.611450362,1.673631409,0.008593587,0.465029678,0.456591085,0.074771991,366.9857211,0.004555144,0.0377,81161.56234,1.677086593,1186.432199,3.465267214,5220.665501,5310.634072
0.89,2201146.626,5583296.657,1.60660822,1.689721782,0.008580066,0.464082806,0.461236658,0.074825729,365.357636,0.004542604,0.0377,80947.27978,1.67708755,1186.602172,3.46190359,5206.859522,5362.771911
0.9,2195353.892,5557315.593,1.601806045,1.705763707,0.008566585,0.463142473,0.465872763,0.07487947,363.7428948,0.004530147,0.0377,80734.63579,1.677088485,1186.770626,3.458563681,5193.159581,5414.771616
0.91,2189605.294,5531603.514,1.597043165,1.721758033,0.008553145,0.462208573,0.470499529,0.074933214,362.1412928,0.004517769,0.0377,80523.59966,1.677089388,1186.937571,3.455247122,5179.563928,5466.635449
0.92,2183900.384,5506156.885,1.592319176,1.7377047,0.008539744,0.461281051,0.475116956,0.074986961,360.5526875,0.004505472,0.0377,80314.15041,1.677090246,1187.103029,3.451953709,5166.071472,5518.363238
0.93,2178238.483,5480970.789,1.587633421,1.753604543,0.008526383,0.460359805,0.479725171,0.07504071,358.9768794,0.004493253,0.0377,80106.25912,1.677091052,1187.267031,3.448683075,5152.680576,5569.957215
0.94,2172619.178,5456041.857,1.582985513,1.769457494,0.008513061,0.45944478,0.484324172,0.075094462,357.4137316,0.004481112,0.0377,79899.90748,1.677091795,1187.429601,3.445435035,5139.39024,5621.417185
0.95,2167041.814,5431365.361,1.578374814,1.785264377,0.008499778,0.458535878,0.488914087,0.075148217,355.863051,0.004469048,0.0377,79695.06905,1.67709247,1187.590771,3.442209231,5126.198896,5672.745349
0.96,2161505.998,5406938.091,1.573800956,1.801025113,0.008486534,0.457633047,0.49349491,0.075201975,354.3247064,0.004457061,0.0377,79491.728,1.677093073,1187.750565,3.439005484,5113.105606,5723.94149
0.97,2156011.097,5382755.494,1.569263321,1.816740517,0.008473327,0.45673619,0.498066768,0.075255735,352.7985108,0.004445148,0.0377,79289.86047,1.677093602,1187.909016,3.435823447,5100.108865,5775.007782
0.98,2150556.737,5358814.51,1.564761556,1.832410499,0.008460159,0.455845259,0.502629654,0.075309497,351.2843382,0.00443331,0.0377,79089.45308,1.677094057,1188.066149,3.43266295,5087.207793,5825.943986
0.99,2145142.302,5335110.758,1.560295063,1.848035865,0.008447029,0.454960159,0.507183692,0.075363263,349.7820078,0.004421545,0.0377,78890.48434,1.677094441,1188.221996,3.429523653,5074.400943,5876.75225
1,2139767.436,5311641.316,1.555863504,1.863616517,0.008433936,0.454080843,0.511728876,0.075417031,348.2913985,0.004409853,0.0377,78692.94302,1.677094757,1188.376579,3.426405395,5061.687484,5927.432316
1.01,2134431.54,5288401.965,1.551466301,1.879153249,0.00842088,0.453207221,0.516265328,0.075470802,346.8123354,0.004398233,0.0377,78496.80964,1.677095012,1188.52993,3.423307846,5049.066018,5977.986305
1.02,2129134.269,5265389.918,1.547103131,1.894645956,0.008407861,0.452339248,0.520793039,0.075524575,345.3447025,0.004386684,0.0377,78302.07464,1.677095212,1188.682068,3.420230852,5036.535756,6028.413941
1.03,2123875.038,5242601.108,1.542773434,1.910095423,0.008394878,0.451476835,0.525312132,0.075578352,343.8883304,0.004375206,0.0377,78108.72003,1.677095366,1188.833023,3.417174091,5024.095339,6078.717319
1.04,2118653.515,5220032.874,1.538476905,1.925501536,0.008381931,0.45061994,0.529822595,0.075632131,342.4431079,0.004363796,0.0377,77916.73737,1.677095484,1188.982809,3.41413742,5011.74401,6128.896144
1.05,2113469.126,5197681.297,1.534212999,1.940865069,0.008369021,0.449768477,0.534324548,0.075685912,341.0088715,0.004352456,0.0377,77726.10953,1.677095575,1189.131451,3.411120524,4999.48044,6178.952491
1.06,2108321.546,5175543.835,1.529981428,1.956185903,0.008356146,0.448922406,0.538817982,0.075739697,339.5855145,0.004341183,0.0377,77536.82858,1.67709565,1189.278959,3.408123269,4987.303892,6228.886043
1.07,2103210.211,5153616.706,1.525781664,1.971464803,0.008343307,0.448081643,0.543303014,0.075793483,338.1728787,0.004329978,0.0377,77348.87761,1.677095717,1189.425351,3.405145349,4975.213059,6278.698853
1.08,2098134.801,5131897.485,1.521613434,1.986701642,0.008330503,0.447246151,0.547779633,0.075847273,336.7708623,0.004318839,0.0377,77162.24861,1.677095786,1189.570631,3.402186638,4963.207215,6328.390588
1.09,2093094.774,5110382.52,1.517476226,2.001897175,0.008317733,0.446415848,0.552247954,0.075901066,335.3793115,0.004307766,0.0377,76976.92795,1.677095874,1189.714818,3.39924684,4951.285123,6377.963275
1.1,2088089.849,5089069.496,1.513369771,2.017051269,0.008304999,0.445590697,0.556707967,0.075954861,333.9981272,0.004296759,0.0377,76792.91406,1.677096002,1189.857935,3.396325829,4939.446187,6427.416567
1.11,2083119.52,5067954.886,1.509293567,2.032164671,0.008292299,0.444770617,0.561159785,0.076008658,332.6271589,0.004285815,0.0377,76610.1943,1.677096188,1190.000019,3.393423308,4927.68925,6476.752472
1.12,2078183.522,5047036.478,1.505247355,2.04723724,0.008279633,0.443955573,0.565603396,0.076062459,331.2663108,0.004274935,0.0377,76428.76333,1.677096441,1190.141097,3.390539156,4916.013724,6525.970624
1.13,2073281.361,5026310.866,1.501230647,2.062269716,0.008267,0.443145487,0.570038913,0.076116262,329.9154371,0.004264119,0.0377,76248.60589,1.677096771,1190.281204,3.387673083,4904.41846,6575.073013
1.14,2068412.785,5005775.935,1.497243197,2.077261951,0.008254402,0.442340324,0.574466322,0.076170068,328.5744458,0.004253364,0.0377,76069.71437,1.677097181,1190.420364,3.384824975,4892.902875,6624.059259
1.15,2063577.311,4985428.394,1.493284531,2.092214675,0.008241836,0.441540009,0.578885736,0.076223876,327.2431955,0.004242672,0.0377,75892.0715,1.677097675,1190.558611,3.381994549,4881.465829,6672.931331
1.16,2058774.697,4965266.222,1.489354414,2.107127736,0.008229304,0.440744508,0.583297138,0.076277687,325.9215975,0.00423204,0.0377,75715.6679,1.677098251,1190.695968,3.379181698,4870.106747,6721.688835
1.17,2054004.472,4945286.237,1.485452384,2.122001857,0.008216805,0.439953747,0.587700642,0.076331501,324.6095147,0.004221469,0.0377,75540.48479,1.677098906,1190.832468,3.376386144,4858.824502,6770.333721
1.18,2049266.404,4925486.507,1.481578216,2.136836877,0.008204339,0.439167695,0.592096229,0.076385318,323.3068619,0.004210958,0.0377,75366.51142,1.677099634,1190.968132,3.373607786,4847.61853,6818.865579
1.19,2044560.033,4905863.953,1.477731463,2.151633512,0.008191905,0.43838628,0.596484011,0.076439137,322.0135057,0.004200506,0.0377,75193.72795,1.677100429,1191.102993,3.370846353,4836.487721,6867.286341
1.2,2039885.137,4886416.728,1.473911909,2.166391597,0.008179503,0.437609473,0.60086397,0.076492959,320.7293642,0.004190112,0.0377,75022.12269,1.677101282,1191.237072,3.368101747,4825.431524,6915.595582
1.21,2035241.269,4867141.854,1.470119119,2.181111839,0.008167133,0.436837202,0.605236215,0.076546784,319.4543079,0.004179777,0.0377,74851.67507,1.677102182,1191.370399,3.365373704,4814.448848,6963.795216
1.22,2030628.217,4848037.564,1.466352886,2.195794068,0.008154795,0.436069439,0.609600729,0.076600611,318.1882578,0.004169498,0.0377,74682.37279,1.677103118,1191.502995,3.362662132,4803.539159,7011.884803
1.23,2026045.543,4829100.975,1.462612787,2.210438984,0.008142488,0.435306115,0.613957619,0.076654441,316.9310881,0.004159277,0.0377,74514.19492,1.677104076,1191.634892,3.359966772,4792.701385,7059.866238
1.24,2021493.046,4810330.396,1.458898624,2.22504641,0.008130213,0.434547203,0.618306866,0.076708274,315.6827228,0.004149112,0.0377,74347.12884,1.677105045,1191.76611,3.357287536,4781.93501,7107.739068
1.25,2016970.299,4791723.036,1.455209985,2.239617041,0.008117969,0.433792636,0.622648577,0.076762109,314.4430394,0.004139002,0.0377,74181.15351,1.677106008,1191.896679,3.354624171,4771.238985,7155.505172
1.26,2012477.11,4773277.277,1.451546681,2.254150694,0.008105756,0.433042387,0.626982733,0.076815947,313.2119648,0.004128948,0.0377,74016.25627,1.677106952,1192.026619,3.351976593,4760.612811,7203.164081
1.27,2008013.061,4754990.415,1.447908309,2.268648057,0.008093573,0.432296392,0.631309439,0.076869788,311.9893798,0.004118948,0.0377,73852.41618,1.677107861,1192.15596,3.349344554,4750.055462,7250.717657
1.28,2003577.969,4736860.902,1.44429469,2.283108943,0.008081421,0.431554625,0.635628675,0.076923632,310.775214,0.004109002,0.0377,73689.62078,1.677108721,1192.284721,3.346727976,4739.566458,7298.165418
1.29,1999171.427,4718886.117,1.440705431,2.297534032,0.008069299,0.430817023,0.639940546,0.076977478,309.5693516,0.00409911,0.0377,73527.84945,1.677109514,1192.412932,3.344126615,4729.144795,7345.509209
